fecha_registro,planta,caudal_entrada_m3_d,DBO_entrada_mg_L,DBO_salida_mg_L,eficiencia_remocion_DBO,energia_aeracion_kWh,lodos_generados_kg_d
2025-08-17,Planta Sur,6562,271,40.0,85.24,1261.1,440.3
2025-09-07,Planta Sur,5336,322,26.8,91.68,1629.3,561.2
2025-07-26,Planta Norte,5755,318,45.2,85.79,1469.2,441.6
2025-10-27,Planta Centro,6840,216,38.0,82.41,1764.8,560.0
2025-09-06,Planta Centro,6803,326,32.1,90.15,1409.3,654.0
2025-09-22,Planta Norte,4714,308,31.7,89.71,1226.7,461.0
2025-07-24,Planta Centro,4464,305,49.7,83.7,957.9,416.9
2025-10-12,Planta Centro,5598,248,30.5,87.7,1612.1,575.5
2025-10-01,Planta Sur,5014,246,37.7,84.67,902.5,429.0
2025-08-27,Planta Sur,2540,343,31.5,90.82,520.9,172.6
2025-07-15,Planta Norte,6986,455,45.1,90.09,1433.3,624.5
2025-07-24,Planta Norte,5227,214,21.3,90.05,1240.0,427.1
2025-09-11,Planta Centro,6231,323,36.8,88.61,1864.7,622.0
2025-09-28,Planta Norte,3558,251,19.8,92.11,638.3,255.0
2025-10-19,Planta Norte,7003,343,51.6,84.96,1863.3,647.8
2025-08-12,Planta Centro,4376,315,26.4,91.62,813.1,264.7
2025-09-29,Planta Norte,5049,365,47.6,86.96,1144.5,395.8
2025-07-09,Planta Sur,3238,90,10.2,88.67,714.5,248.1
2025-08-09,Planta Sur,4966,232,20.2,91.29,984.9,320.5
2025-10-11,Planta Norte,4878,201,28.6,85.77,1206.2,484.9
2025-09-07,Planta Centro,4940,271,46.3,82.92,1130.5,492.5
2025-08-18,Planta Sur,5814,222,20.6,90.72,1262.2,418.7
2025-07-08,Planta Sur,5284,229,32.9,85.63,1406.1,497.5
2025-08-14,Planta Norte,6566,335,39.3,88.27,1390.2,678.3
2025-07-01,Planta Norte,4545,432,79.0,81.71,1450.1,399.3
2025-09-14,Planta Sur,3806,90,11.8,86.89,849.7,295.7
2025-08-25,Planta Sur,5173,255,41.6,83.69,1628.5,479.8
2025-07-07,Planta Norte,6080,305,37.1,87.84,1230.0,480.2
2025-07-20,Planta Centro,6942,280,32.5,88.39,2174.6,606.9
2025-08-30,Planta Centro,6339,252,20.9,91.71,1234.3,581.6
2025-08-14,Planta Sur,2728,172,15.0,91.28,526.3,202.0
2025-09-02,Planta Norte,5728,205,36.6,82.15,1087.3,525.8
2025-09-08,Planta Centro,7245,338,46.6,86.21,2023.6,611.3
2025-08-26,Planta Sur,5288,366,45.8,87.49,1079.3,467.8
2025-07-25,Planta Centro,4478,288,27.5,90.45,949.9,330.8
2025-08-25,Planta Norte,5633,213,39.5,81.46,1545.4,539.6
2025-08-23,Planta Norte,4495,288,21.3,92.6,846.6,301.9
2025-10-21,Planta Norte,6095,261,40.7,84.41,1586.7,506.4
2025-08-31,Planta Sur,5182,324,43.6,86.54,1213.9,443.2
2025-09-03,Planta Norte,7150,289,49.0,83.04,1407.9,431.8
2025-08-04,Planta Norte,5899,230,31.8,86.17,1826.7,579.7
2025-08-26,Planta Centro,4187,295,43.5,85.25,959.7,362.7
2025-09-12,Planta Norte,6046,186,26.2,85.91,1347.6,385.7
2025-09-17,Planta Norte,6510,346,45.0,86.99,1809.6,655.9
2025-08-08,Planta Norte,4404,375,61.8,83.52,1341.6,414.4
2025-07-05,Planta Centro,4604,186,17.7,90.48,995.3,478.4
2025-10-19,Planta Centro,1973,314,35.4,88.73,415.6,183.0
2025-07-10,Planta Centro,6465,201,31.9,84.13,2018.8,544.1
2025-09-26,Planta Norte,4377,366,64.3,82.43,1079.7,428.7
2025-10-08,Planta Centro,2229,352,51.0,85.51,553.1,172.1
2025-09-06,Planta Centro,2724,262,21.5,91.79,667.1,220.4
2025-09-11,Planta Sur,4888,360,55.8,84.5,1502.2,376.8
2025-09-22,Planta Sur,6265,246,39.9,83.78,1514.6,474.0
2025-08-18,Planta Norte,5075,229,26.3,88.52,1416.4,534.3
2025-07-02,Planta Norte,5860,235,32.0,86.38,1528.4,494.0
2025-09-03,Planta Sur,3658,269,25.9,90.37,729.3,308.6
2025-07-17,Planta Sur,3322,254,33.7,86.73,869.1,259.7
2025-10-27,Planta Centro,6440,292,25.7,91.2,1936.5,487.7
2025-08-01,Planta Sur,5889,231,19.9,91.39,1508.3,418.6
2025-10-02,Planta Sur,5157,341,56.0,83.58,1204.9,544.4
2025-08-14,Planta Centro,6995,362,47.0,87.02,1263.2,665.7
2025-10-01,Planta Sur,3868,240,28.2,88.25,1121.9,321.4
2025-09-10,Planta Norte,4612,166,16.5,90.06,1072.6,409.0
2025-07-24,Planta Norte,6637,338,30.5,90.98,1480.7,665.4
2025-07-11,Planta Norte,7773,371,36.3,90.22,1788.2,604.4
2025-10-14,Planta Norte,5212,267,24.7,90.75,1298.8,383.3
2025-08-05,Planta Sur,7551,177,25.4,85.65,1740.5,626.0
2025-09-03,Planta Norte,4356,301,47.8,84.12,950.9,357.6
2025-08-31,Planta Centro,5662,402,70.2,82.54,1382.8,565.5
2025-07-08,Planta Norte,4957,130,25.1,80.69,939.9,510.2
2025-07-24,Planta Centro,2976,318,28.9,90.91,656.1,301.3
2025-10-01,Planta Centro,5561,255,22.5,91.18,1293.8,519.0
2025-10-28,Planta Norte,6506,212,32.9,84.48,2004.1,555.2
2025-10-05,Planta Centro,4992,320,35.6,88.88,1191.2,341.4
2025-07-22,Planta Centro,5101,176,29.2,83.41,1294.6,534.1
2025-10-09,Planta Centro,7150,304,38.1,87.47,2169.8,722.2
2025-08-05,Planta Centro,3450,385,48.0,87.53,1034.0,294.1
2025-10-06,Planta Norte,3103,294,38.4,86.94,920.7,298.5
2025-09-06,Planta Norte,4284,210,25.0,88.1,1147.1,441.9
2025-09-30,Planta Centro,3525,138,16.7,87.9,945.3,263.0
2025-10-06,Planta Centro,7085,177,15.9,91.02,1439.9,620.2
2025-07-20,Planta Norte,5634,133,24.7,81.43,1135.5,597.4
2025-07-28,Planta Sur,3990,408,58.5,85.66,774.0,282.2
2025-07-05,Planta Sur,4340,260,42.8,83.54,793.6,291.7
2025-07-20,Planta Norte,9205,196,36.5,81.38,2434.0,971.7
2025-08-03,Planta Centro,4346,176,26.1,85.17,1176.2,443.5
2025-07-31,Planta Norte,4133,195,33.3,82.92,712.7,256.6
2025-08-27,Planta Centro,5626,253,40.5,83.99,1661.8,494.2
2025-10-10,Planta Norte,6094,177,23.0,87.01,1491.6,554.5
2025-09-12,Planta Centro,5510,414,37.7,90.89,1356.4,520.2
2025-10-02,Planta Sur,3928,220,28.2,87.18,735.6,351.9
2025-09-20,Planta Centro,3577,217,26.0,88.02,1075.4,311.2
2025-08-01,Planta Centro,6035,305,48.2,84.2,1180.7,538.1
2025-07-03,Planta Centro,5124,396,64.9,83.61,1035.3,459.8
2025-09-22,Planta Sur,2902,386,51.2,86.74,744.6,187.0
2025-08-20,Planta Norte,6839,241,21.9,90.91,1716.7,467.4
2025-07-19,Planta Centro,6285,300,26.4,91.2,1636.4,463.4
2025-07-22,Planta Sur,4863,292,46.8,83.97,1547.5,508.4
2025-10-28,Planta Centro,4836,322,55.5,82.76,904.4,398.6
2025-09-06,Planta Norte,5524,300,38.6,87.13,1531.9,494.2
2025-09-14,Planta Centro,4238,204,16.2,92.06,965.7,451.3
2025-08-28,Planta Centro,3312,179,13.4,92.51,932.3,214.7
2025-08-17,Planta Centro,5652,294,25.2,91.43,1515.4,391.3
2025-07-17,Planta Norte,3185,185,33.9,81.68,925.2,234.1
2025-07-13,Planta Sur,5747,389,46.2,88.12,1757.2,598.4
2025-10-02,Planta Sur,3182,283,37.5,86.75,866.9,300.6
2025-10-16,Planta Centro,5061,198,29.3,85.2,995.1,335.4
2025-10-14,Planta Centro,5010,254,26.5,89.57,1239.0,317.7
2025-07-10,Planta Norte,7696,239,32.9,86.23,2171.7,524.5
2025-09-15,Planta Sur,3710,270,34.4,87.26,1114.3,385.6
2025-09-06,Planta Sur,3219,356,41.3,88.4,1000.2,258.2
2025-10-19,Planta Centro,4295,164,14.5,91.16,1072.2,437.0
2025-07-15,Planta Sur,3627,131,14.6,88.85,692.9,365.0
2025-07-21,Planta Norte,4374,307,28.0,90.88,1205.0,465.4
2025-08-23,Planta Centro,5789,266,30.4,88.57,1211.8,498.0
2025-07-16,Planta Norte,6281,293,38.9,86.72,1769.2,459.3
2025-08-29,Planta Centro,7523,316,34.4,89.11,1393.6,637.1
2025-08-05,Planta Norte,4169,266,49.0,81.58,923.5,428.9
2025-08-18,Planta Sur,8894,344,46.5,86.48,2410.0,938.3
2025-07-05,Planta Centro,7975,209,35.5,83.01,1580.3,630.7
2025-08-13,Planta Centro,4915,285,47.6,83.3,1082.8,409.8
2025-09-11,Planta Norte,1992,214,26.4,87.66,388.6,195.8
2025-09-29,Planta Centro,5084,190,16.2,91.47,1554.2,401.9
2025-08-24,Planta Sur,5302,329,56.0,82.98,1531.3,379.1
2025-08-13,Planta Centro,1981,326,39.9,87.76,556.3,145.4
2025-10-20,Planta Norte,5303,125,18.6,85.12,1329.9,440.4
2025-09-26,Planta Sur,4920,190,30.3,84.05,1548.7,351.5
2025-09-16,Planta Norte,4100,303,39.2,87.06,904.4,396.5
2025-08-20,Planta Sur,6077,366,46.9,87.19,1703.5,559.2
2025-08-09,Planta Centro,6607,227,25.6,88.72,1301.9,692.2
2025-07-04,Planta Norte,4519,265,24.0,90.94,1199.2,433.1
2025-07-30,Planta Centro,5521,167,11.4,93.17,1141.8,451.4
2025-07-13,Planta Centro,4283,481,48.1,90.0,741.9,294.5
2025-09-15,Planta Norte,4099,318,33.9,89.34,1304.6,292.2
2025-09-18,Planta Sur,5311,352,52.5,85.09,1121.9,544.7
2025-07-30,Planta Centro,5933,333,45.0,86.49,1896.6,537.0
2025-07-09,Planta Sur,4411,355,49.7,86.0,1187.0,287.3
2025-08-24,Planta Sur,2101,329,34.9,89.39,585.6,176.5
2025-08-08,Planta Norte,6020,253,24.6,90.28,1673.5,582.6
2025-10-26,Planta Centro,2965,340,50.4,85.18,896.5,292.4
2025-09-09,Planta Centro,5371,286,31.1,89.13,1129.4,538.7
2025-07-22,Planta Sur,7691,384,56.9,85.18,2395.1,797.8
2025-08-14,Planta Centro,5176,221,25.6,88.42,1206.9,430.4
2025-09-30,Planta Centro,3534,237,25.4,89.28,669.5,325.2
2025-07-08,Planta Sur,3154,333,49.0,85.29,927.7,200.3
2025-09-20,Planta Norte,6839,382,38.2,90.0,1303.1,627.5
2025-10-15,Planta Centro,5176,292,45.9,84.28,1315.4,438.4
2025-10-20,Planta Centro,5956,223,26.9,87.94,1812.2,418.3
2025-09-08,Planta Norte,6497,270,26.5,90.19,1459.2,468.7
2025-10-09,Planta Sur,5131,240,32.3,86.54,1417.4,482.2
2025-08-22,Planta Centro,4768,432,62.1,85.62,1282.2,337.8
2025-10-14,Planta Sur,3874,352,28.5,91.9,1121.2,296.2
2025-08-11,Planta Centro,1500,381,55.0,85.56,279.7,117.1
2025-07-30,Planta Centro,3075,304,36.8,87.89,846.1,296.8
2025-07-27,Planta Sur,5103,236,33.0,86.02,1489.8,353.4
2025-09-03,Planta Norte,4955,374,40.9,89.06,955.0,316.1
2025-09-01,Planta Norte,5765,412,61.2,85.15,1849.3,396.6
2025-09-25,Planta Centro,5023,327,56.9,82.6,1592.4,473.2
2025-10-07,Planta Centro,5423,278,19.2,93.09,1231.7,338.5
2025-07-13,Planta Centro,6303,366,52.6,85.63,1995.0,545.9
2025-07-07,Planta Sur,3961,250,25.2,89.92,1264.0,333.5
2025-10-13,Planta Centro,4798,341,42.1,87.65,987.2,374.1
2025-08-04,Planta Sur,2950,223,22.5,89.91,838.1,226.2
2025-08-29,Planta Centro,6562,202,27.4,86.44,2055.1,563.4
2025-10-15,Planta Centro,5254,325,44.1,86.43,1520.8,330.6
2025-10-19,Planta Norte,5886,307,54.1,82.38,1201.3,444.4
2025-10-25,Planta Norte,7359,432,76.8,82.22,1729.4,588.6
2025-10-22,Planta Sur,6711,258,44.0,82.95,1693.0,448.3
2025-10-02,Planta Centro,5116,282,52.5,81.38,1178.8,435.8
2025-10-11,Planta Norte,6303,189,23.3,87.67,1475.7,471.8
2025-10-15,Planta Norte,3196,130,20.0,84.62,643.4,201.8
2025-07-18,Planta Sur,5807,138,23.5,82.97,1081.1,384.1
2025-07-06,Planta Norte,5394,317,33.4,89.46,1180.2,408.5
2025-09-18,Planta Sur,2934,186,25.8,86.13,678.1,269.2
2025-08-19,Planta Norte,7072,370,57.3,84.51,1836.2,696.0
2025-08-24,Planta Sur,4214,394,40.7,89.67,1285.8,351.2
2025-09-15,Planta Centro,6157,257,36.1,85.95,1182.1,383.2
2025-10-14,Planta Norte,4612,413,61.3,85.16,1068.1,411.1
2025-10-13,Planta Sur,6591,298,39.8,86.64,1990.5,681.9
2025-10-01,Planta Centro,7037,370,29.0,92.16,2031.7,439.6
2025-08-24,Planta Centro,4038,262,46.1,82.4,754.4,309.7
2025-08-17,Planta Centro,3057,357,37.6,89.47,878.1,185.9
2025-08-07,Planta Norte,5016,205,39.2,80.88,935.3,440.0
2025-09-12,Planta Norte,6388,330,37.6,88.61,2017.7,415.3
2025-09-26,Planta Norte,4680,243,34.2,85.93,1031.7,492.2
2025-07-22,Planta Norte,4341,270,20.5,92.41,1140.1,345.3
2025-07-05,Planta Norte,5884,331,46.7,85.89,1416.9,528.5
2025-09-30,Planta Norte,1500,294,45.4,84.56,383.8,113.7
2025-09-15,Planta Sur,4269,274,33.5,87.77,869.7,325.0
2025-10-14,Planta Norte,3263,338,55.2,83.67,746.0,197.6
2025-09-14,Planta Centro,5613,344,43.3,87.41,1235.4,570.3
2025-07-07,Planta Norte,4169,169,11.1,93.43,1088.3,304.1
2025-10-06,Planta Norte,3639,325,29.5,90.92,863.4,261.7
2025-09-24,Planta Sur,4705,334,28.5,91.47,1227.3,363.6
2025-09-24,Planta Sur,3144,220,23.1,89.5,765.1,216.4
2025-07-31,Planta Centro,5182,311,54.2,82.57,1410.2,388.6
2025-10-16,Planta Norte,4245,174,20.9,87.99,1324.7,312.0
2025-10-01,Planta Sur,4672,395,60.0,84.81,1135.2,499.0
2025-08-26,Planta Norte,4196,261,37.1,85.79,1066.2,428.2
2025-08-21,Planta Centro,6477,274,41.7,84.78,1714.2,476.4
